,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
921,CN2416,I300R,300,3713.64,-0.009,25.8088,32053.81429,389.07635832669996,18023.9139650772,8165.1017607523
922,CN2417,新能源车R,50,2657.3969,-0.0151,17.3011,14512.0483,325.77046545630003,27786.1672531251,13081.2977657437
923,CN2418,数据要素R,50,3406.021,-0.0126,27.477,19006.41749,364.8772031966,24525.6572017009,8315.9228138818
924,CN2419,国证高铁R,50,1936.3729,-0.0119,11.1875,23867.23675,184.7568436066,12423.8693359302,3205.8087862606
925,CN2420,国证保证R,30,1376.2071,-0.019,16.0163,22983.23996,275.0527231908,35020.7003784791,11798.9330639155
926,CN2422,中关村AR,0,2930.2499,-0.0081,20.9452,71705.4944,850.8770887485001,54476.7048550062,25652.102096632403
927,CN2423,中关村50R,50,2241.3035,-0.0049,29.1441,16863.48023,246.4392848679,20214.8944178213,9731.9869020257
928,CN2427,专利领先R,100,2921.899,-0.0072,11.6318,53361.26187,749.6479768931,156068.2958330198,53132.92980023441
929,CN2428,国证定增R,100,2811.5002,-0.014,20.5906,25538.93228,299.7029302549,12957.7032493856,821.4993065814999
930,CN2429,新丝路R,100,1439.7684,-0.0108,14.5761,33688.51975,290.0767446146,22870.494601465,9219.5701480219
931,CN2431,国证银行R,0,12042.1482,0.0046,5.3993,29909.24604,216.6533520134,77607.01617250769,22860.932713833197
932,CN2432,智能汽车R,50,5843.2539,-0.0145,18.6214,10918.72166,302.2205142487,26782.1713653887,10504.9606257916
933,CN2433,国证交运R,0,2354.8103,0.0005,12.436,28908.57136,234.67450482430002,23813.4726634006,8660.8822742857
934,CN2434,数字传媒R,50,1968.1304,-0.0108,24.1065,27530.10559,259.5031588606,8628.7790390639,4526.5571117087
935,CN2435,国证农牧R,0,4733.6602,0.0004,28.9074,8435.95701,64.0852823079,8246.5850391772,3407.3219258074
936,CN2436,绿色煤炭R,30,8004.4587,0.0092,10.0584,9407.68017,89.9413870157,16828.8297496032,1649.4440643745002
937,CN2437,证券龙头R,30,6533.0818,-0.0187,18.8718,20528.60155,239.778463588,22196.9399142535,4461.0357799443
938,CN2438,绿色电力R,50,3164.4377,0.006,21.1202,20540.80142,149.8505399122,23716.4731645616,5562.2865954034
939,CN2439,国证油气R,100,2960.8367,0.0035,12.885,19206.73191,152.0874000241,35041.721856943,6256.0157198798
940,CN2440,国证钢铁R,0,1963.8137,-0.015,16.9846,14289.66058,69.0777420193,7337.321710507,2827.7252541911
941,CN2441,生物医药R,30,2394.6646,-0.0056,20.3326,4319.96174,129.5512465797,10120.6569979613,4868.6599702581
942,CN2550,央视50R,50,9485.4128,0.0019,9.9187,25688.98221,522.2440217704,105256.6328014001,10732.6170090262
